hidden_dims,dropout,lr,batch_size,mae,rmse
"[256, 128, 64]",0.2,0.005,128,0.09887005388736725,0.12965587638300982
"[256, 128, 64]",0.3,0.01,128,0.1073976457118988,0.12987278060604687
"[256, 128, 64]",0.3,0.001,32,0.11620553582906723,0.12997211168623551
"[1024, 512, 256]",0.2,0.0001,16,0.11563525348901749,0.13043014389191301
"[1024, 512, 256]",0.1,0.001,64,0.10964809358119965,0.13075238451643292
"[512, 256, 128]",0.2,0.0005,64,0.10562434047460556,0.13123941038190814
"[1024, 512, 256]",0.2,0.001,64,0.10283871740102768,0.13170009961796095
"[128, 64, 32]",0.3,0.005,128,0.11508272588253021,0.13188904293147696
"[64, 32]",0.2,0.005,128,0.10403767228126526,0.13201309592810806
"[512, 256, 128, 64]",0.3,0.0005,16,0.11643112450838089,0.13293639182672218
"[128, 64, 32]",0.1,0.005,128,0.1033572256565094,0.1332220676522646
"[256, 128, 64, 32]",0.1,0.0005,16,0.1095549613237381,0.13370988410224952
"[512, 256]",0.2,0.001,128,0.10525265336036682,0.13414206886736374
"[256, 128, 64, 32]",0.2,0.01,128,0.085215725004673,0.13417082983595882
"[1024, 512, 256]",0.1,0.001,128,0.11492752283811569,0.13435521035516831
[32],0.1,0.005,16,0.11398297548294067,0.13488786792312557
"[512, 256]",0.2,0.001,64,0.10381781309843063,0.13602021101703438
"[128, 64]",0.3,0.01,128,0.12454536557197571,0.13635398023863138
[32],0.3,0.005,32,0.1150149405002594,0.1365220289471483
"[512, 256]",0.3,0.001,32,0.11402744054794312,0.13669285529006361
"[64, 32]",0.1,0.0005,16,0.12241894006729126,0.13773544213741137
"[512, 256]",0.4,0.001,32,0.12289678305387497,0.13809374391970564
"[512, 256]",0.4,0.001,16,0.12728136777877808,0.13820234245652352
